route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,agency_id
05210621-16,20210617,20210617-16-16301,16 - Hamilton GO,,1,strvl005,191230,1,1,GO
05210621-16,20210617,20210617-16-16051,16 - Hamilton GO,,1,DDS51011,191230,1,1,GO
05210621-16,20210616,20210616-16-16861,16 - Hamilton GO,,1,MDDS3123,191230,1,1,GO
05210621-16,20210616,20210616-16-16381,16 - Hamilton GO,,1,MDDS1102,191230,1,1,GO
05210621-16,20210616,20210616-16-16421,16 - Hamilton GO,,1,DDS51025,191230,1,1,GO
05210621-16,20210616,20210616-16-16891,16 - Hamilton GO,,1,DDS11028,191230,1,1,GO
05210621-16,20210616,20210616-16-16801,16 - Hamilton GO,,1,DDS11028,191230,1,1,GO
05210621-16,20210616,20210616-16-16721,16 - Hamilton GO,,1,DDS11020,191230,1,1,GO
05210621-16,20210616,20210616-16-16461,16 - Hamilton GO,,1,DDS11019,191230,1,1,GO
05210621-16,20210616,20210616-16-16511,16 - Hamilton GO,,1,DDS11015,191230,1,1,GO
05210621-16,20210616,20210616-16-16101,16 - Hamilton GO,,1,DDS11009,191230,1,1,GO
05210621-16,20210615,20210615-16-16861,16 - Hamilton GO,,1,MDDS3123,191230,1,1,GO
05210621-16,20210615,20210615-16-16381,16 - Hamilton GO,,1,MDDS1102,191230,1,1,GO
05210621-16,20210615,20210615-16-16341,16 - Hamilton GO,,1,DDS51022,191230,1,1,GO
05210621-16,20210615,20210615-16-16051,16 - Hamilton GO,,1,DDS51011,191230,1,1,GO
05210621-16,20210615,20210615-16-16891,16 - Hamilton GO,,1,DDS11028,191230,1,1,GO
05210621-16,20210615,20210615-16-16801,16 - Hamilton GO,,1,DDS11028,191230,1,1,GO
05210621-16,20210615,20210615-16-16721,16 - Hamilton GO,,1,DDS11020,191230,1,1,GO
05210621-16,20210615,20210615-16-16461,16 - Hamilton GO,,1,DDS11019,191230,1,1,GO
05210621-16,20210615,20210615-16-16511,16 - Hamilton GO,,1,DDS11015,191230,1,1,GO
05210621-16,20210615,20210615-16-16101,16 - Hamilton GO,,1,DDS11009,191230,1,1,GO
05210621-16,20210528,20210528-16-16301,16 - Hamilton GO,,1,strvl005,191230,1,1,GO
05210621-16,20210528,20210528-16-16381,16 - Hamilton GO,,1,MDDS1102,191230,1,1,GO
05210621-16,20210528,20210528-16-16421,16 - Hamilton GO,,1,DDS51025,191230,1,1,GO
05210621-16,20210527,20210527-16-16301,16 - Hamilton GO,,1,strvl005,191230,1,1,GO
05210621-16,20210527,20210527-16-16381,16 - Hamilton GO,,1,MDDS1102,191230,1,1,GO
05210621-16,20210527,20210527-16-16421,16 - Hamilton GO,,1,DDS51025,191230,1,1,GO
05210621-16,20210527,20210527-16-16341,16 - Hamilton GO,,1,DDS51022,191230,1,1,GO
05210621-16,20210527,20210527-16-16761,16 - Hamilton GO,,1,DDS11032,191230,1,1,GO
05210621-16,20210527,20210527-16-16891,16 - Hamilton GO,,1,DDS11028,191230,1,1,GO
05210621-16,20210527,20210527-16-16801,16 - Hamilton GO,,1,DDS11028,191230,1,1,GO
05210621-16,20210527,20210527-16-16721,16 - Hamilton GO,,1,DDS11020,191230,1,1,GO
05210621-16,20210527,20210527-16-16461,16 - Hamilton GO,,1,DDS11019,191230,1,1,GO
05210621-16,20210527,20210527-16-16511,16 - Hamilton GO,,1,DDS11015,191230,1,1,GO
05210621-16,20210527,20210527-16-16101,16 - Hamilton GO,,1,DDS11009,191230,1,1,GO
05210621-16,20210526,20210526-16-16301,16 - Hamilton GO,,1,strvl005,191230,1,1,GO
05210621-16,20210526,20210526-16-16861,16 - Hamilton GO,,1,MDDS3123,191230,1,1,GO
05210621-16,20210526,20210526-16-16381,16 - Hamilton GO,,1,MDDS1102,191230,1,1,GO
05210621-16,20210526,20210526-16-16421,16 - Hamilton GO,,1,DDS51025,191230,1,1,GO
05210621-16,20210526,20210526-16-16341,16 - Hamilton GO,,1,DDS51022,191230,1,1,GO
05210621-16,20210526,20210526-16-16051,16 - Hamilton GO,,1,DDS51011,191230,1,1,GO
05210621-16,20210526,20210526-16-16761,16 - Hamilton GO,,1,DDS11032,191230,1,1,GO
05210621-16,20210526,20210526-16-16891,16 - Hamilton GO,,1,DDS11028,191230,1,1,GO
05210621-16,20210526,20210526-16-16801,16 - Hamilton GO,,1,DDS11028,191230,1,1,GO
05210621-16,20210526,20210526-16-16721,16 - Hamilton GO,,1,DDS11020,191230,1,1,GO
05210621-16,20210526,20210526-16-16461,16 - Hamilton GO,,1,DDS11019,191230,1,1,GO
05210621-16,20210526,20210526-16-16511,16 - Hamilton GO,,1,DDS11015,191230,1,1,GO
05210621-16,20210526,20210526-16-16101,16 - Hamilton GO,,1,DDS11009,191230,1,1,GO
05210621-16,20210525,20210525-16-16301,16 - Hamilton GO,,1,strvl005,191230,1,1,GO
05210621-16,20210525,20210525-16-16861,16 - Hamilton GO,,1,MDDS3123,191230,1,1,GO
05210621-16,20210525,20210525-16-16421,16 - Hamilton GO,,1,DDS51025,191230,1,1,GO
05210621-16,20210525,20210525-16-16341,16 - Hamilton GO,,1,DDS51022,191230,1,1,GO
05210621-16,20210525,20210525-16-16051,16 - Hamilton GO,,1,DDS51011,191230,1,1,GO
05210621-16,20210525,20210525-16-16761,16 - Hamilton GO,,1,DDS11032,191230,1,1,GO
05210621-16,20210525,20210525-16-16891,16 - Hamilton GO,,1,DDS11028,191230,1,1,GO
05210621-16,20210525,20210525-16-16801,16 - Hamilton GO,,1,DDS11028,191230,1,1,GO
05210621-16,20210525,20210525-16-16721,16 - Hamilton GO,,1,DDS11020,191230,1,1,GO
05210621-16,20210525,20210525-16-16461,16 - Hamilton GO,,1,DDS11019,191230,1,1,GO
05210621-16,20210525,20210525-16-16511,16 - Hamilton GO,,1,DDS11015,191230,1,1,GO
05210621-16,20210525,20210525-16-16101,16 - Hamilton GO,,1,DDS11009,191230,1,1,GO
05210621-16,20210520,20210520-16-16301,16 - Hamilton GO,,1,strvl005,191230,1,1,GO
05210621-16,20210520,20210520-16-16861,16 - Hamilton GO,,1,MDDS3123,191230,1,1,GO
05210621-16,20210520,20210520-16-16831,16 - Hamilton GO,,1,MDDS1115,191230,1,1,GO
05210621-16,20210520,20210520-16-16381,16 - Hamilton GO,,1,MDDS1102,191230,1,1,GO
05210621-16,20210520,20210520-16-16421,16 - Hamilton GO,,1,DDS51025,191230,1,1,GO
05210621-16,20210520,20210520-16-16341,16 - Hamilton GO,,1,DDS51022,191230,1,1,GO
05210621-16,20210520,20210520-16-16051,16 - Hamilton GO,,1,DDS51011,191230,1,1,GO
05210621-16,20210520,20210520-16-16761,16 - Hamilton GO,,1,DDS11032,191230,1,1,GO
05210621-16,20210520,20210520-16-16891,16 - Hamilton GO,,1,DDS11028,191230,1,1,GO
05210621-16,20210520,20210520-16-16801,16 - Hamilton GO,,1,DDS11028,191230,1,1,GO
05210621-16,20210520,20210520-16-16721,16 - Hamilton GO,,1,DDS11020,191230,1,1,GO
05210621-16,20210520,20210520-16-16461,16 - Hamilton GO,,1,DDS11019,191230,1,1,GO
05210621-16,20210520,20210520-16-16511,16 - Hamilton GO,,1,DDS11015,191230,1,1,GO
05210621-16,20210520,20210520-16-16101,16 - Hamilton GO,,1,DDS11009,191230,1,1,GO
05210621-16,20210519,20210519-16-16301,16 - Hamilton GO,,1,strvl005,191230,1,1,GO
05210621-16,20210519,20210519-16-16381,16 - Hamilton GO,,1,MDDS1102,191230,1,1,GO
05210621-16,20210519,20210519-16-16341,16 - Hamilton GO,,1,DDS51022,191230,1,1,GO
05210621-16,20210519,20210519-16-16051,16 - Hamilton GO,,1,DDS51011,191230,1,1,GO
05210621-16,20210519,20210519-16-16761,16 - Hamilton GO,,1,DDS11032,191230,1,1,GO
05210621-16,20210519,20210519-16-16891,16 - Hamilton GO,,1,DDS11028,191230,1,1,GO
