stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,agency_id
1,1,MAPLE AT THORPE,,43.327229,-79.819046,,,0,,Burlington
100,100,FAIRVIEW AT DRURY,,43.342906,-79.803296,,,0,,Burlington
1000,1000,5255 LAKESHORE,,43.365632,-79.735785,,,0,,Burlington
1001,1001,LAKESHORE AT WHITE PINES,,43.364056,-79.739129,,,0,,Burlington
1002,1002,LAKESHORE AT PINELAND,,43.362539,-79.741458,,,0,,Burlington
1003,1003,LAKESHORE AT KENWOOD,,43.366894,-79.732332,,,0,,Burlington
1004,1004,5255 LAKESHORE,,43.365333,-79.736101,,,0,,Burlington
1005,1005,LAKESHORE AT WHITE PINES,,43.364062,-79.738805,,,0,,Burlington
1006,1006,LAKESHORE AT COLONIAL,,43.362493,-79.741174,,,0,,Burlington
1007,1007,LAKESHORE AT HAMPTON HEATH,,43.367821,-79.72996,,,0,,Burlington
1008,1008,APPLEBY AT SPRUCE,,43.363128,-79.748318,,,0,,Burlington
1010,1010,BERTON AT DARIEN,,43.392956,-79.819301,,,0,,Burlington
1011,1011,CUMBERLAND AT PROSPECT,,43.35216,-79.786505,,,0,,Burlington
1012,1012,FAIRVIEW AT BURLINGTON GO,,43.339287,-79.809072,,,0,,Burlington
1013,1013,FAIRVIEW AT BURLINGTON GO,,43.339112,-79.808825,,,0,,Burlington
1014,1014,CUMBERLAND AT FAIRVIEW,,43.352862,-79.787115,,,0,,Burlington
1015,1015,MAINWAY AT HERITAGE,,43.381495,-79.786987,,,0,,Burlington
1016,1016,SUTTON AT JOHN LUCAS,,43.393232,-79.768881,,,0,,Burlington
1017,1017,SUTTON AT CLAY,,43.389611,-79.766727,,,0,,Burlington
1018,1018,MAINWAY AT JOHN LUCAS,,43.393582,-79.774189,,,0,,Burlington
1019,1019,5500 NORTH SERVICE,,43.395826,-79.761681,,,0,,Burlington
102,102,1220 BRANT,,43.343498,-79.824912,,,0,,Burlington
1020,1020,5515 NORTH SERVICE,,43.395474,-79.761436,,,0,,Burlington
1021,1021,MAINWAY AT JOHN LUCAS,,43.39417,-79.773815,,,0,,Burlington
1022,1022,1375 KERNS,,43.339983,-79.836225,,,0,,Burlington
1023,1023,1801 KERNS,,43.343814,-79.84176,,,0,,Burlington
1024,1024,TYANDAGA PARK AT FAIRWAY,,43.34729,-79.83887,,,0,,Burlington
103,103,3180 NEW,,43.34313,-79.779925,,,0,,Burlington
