trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,agency_id
20210618-18-18721,19:17:00,19:17:00,141,11,,0,0,,GO
20210618-18-18721,19:12:00,19:12:00,1014,10,,0,0,,GO
20210618-18-18721,19:11:00,19:11:00,1007,9,,0,0,,GO
20210618-18-18721,19:11:00,19:11:00,1012,8,,0,0,,GO
20210618-18-18721,19:10:00,19:10:00,1011,7,,0,0,,GO
20210618-18-18721,19:10:00,19:10:00,1013,6,,0,0,,GO
20210618-18-18721,19:09:00,19:09:00,1008,5,,0,0,,GO
20210618-18-18721,19:08:00,19:08:00,1009,4,,0,0,,GO
20210618-18-18721,19:07:00,19:07:00,732,3,,0,0,,GO
20210618-18-18721,19:07:00,19:07:00,1010,2,,0,0,,GO
20210618-18-18721,19:00:00,19:00:00,180,1,,0,0,,GO
20210618-18-18770,18:40:00,18:40:00,180,9,,0,0,,GO
20210618-18-18770,18:32:00,18:32:00,178,8,,0,0,,GO
20210618-18-18770,18:31:00,18:31:00,1005,7,,0,0,,GO
20210618-18-18770,18:30:00,18:30:00,1004,6,,0,0,,GO
20210618-18-18770,18:29:00,18:29:00,2759,5,,0,0,,GO
20210618-18-18770,18:28:00,18:28:00,1001,4,,0,0,,GO
20210618-18-18770,18:27:00,18:27:00,1006,3,,0,0,,GO
20210618-18-18770,18:26:00,18:26:00,1002,2,,0,0,,GO
20210618-18-18770,18:25:00,18:25:00,141,1,,0,0,,GO
20210618-18-18022,5:40:00,5:40:00,2300,4,,0,0,,GO
20210618-18-18022,5:15:00,5:15:00,2775,3,,0,0,,GO
20210618-18-18022,5:05:00,5:05:00,181,2,,0,0,,GO
20210618-18-18022,4:55:00,4:55:00,137,1,,0,0,,GO
20210618-18-18170,6:40:00,6:40:00,180,9,,0,0,,GO
20210618-18-18170,6:29:00,6:29:00,178,8,,0,0,,GO
20210618-18-18170,6:29:00,6:29:00,1005,7,,0,0,,GO
20210618-18-18170,6:28:00,6:28:00,1004,6,,0,0,,GO
20210618-18-18170,6:28:00,6:28:00,2759,5,,0,0,,GO
20210618-18-18170,6:27:00,6:27:00,1001,4,,0,0,,GO
20210618-18-18170,6:27:00,6:27:00,1006,3,,0,0,,GO
20210618-18-18170,6:26:00,6:26:00,1002,2,,0,0,,GO
20210618-18-18170,6:25:00,6:25:00,141,1,,0,0,,GO
20210618-18-18090,5:40:00,5:40:00,180,9,,0,0,,GO
20210618-18-18090,5:29:00,5:29:00,178,8,,0,0,,GO
20210618-18-18090,5:29:00,5:29:00,1005,7,,0,0,,GO
20210618-18-18090,5:28:00,5:28:00,1004,6,,0,0,,GO
20210618-18-18090,5:28:00,5:28:00,2759,5,,0,0,,GO
20210618-18-18090,5:27:00,5:27:00,1001,4,,0,0,,GO
20210618-18-18090,5:27:00,5:27:00,1006,3,,0,0,,GO
20210618-18-18090,5:26:00,5:26:00,1002,2,,0,0,,GO
20210618-18-18090,5:25:00,5:25:00,141,1,,0,0,,GO
20210618-18-18040,4:40:00,4:40:00,180,9,,0,0,,GO
20210618-18-18040,4:29:00,4:29:00,178,8,,0,0,,GO
20210618-18-18040,4:29:00,4:29:00,1005,7,,0,0,,GO
20210618-18-18040,4:28:00,4:28:00,1004,6,,0,0,,GO
20210618-18-18040,4:28:00,4:28:00,2759,5,,0,0,,GO
20210618-18-18040,4:27:00,4:27:00,1001,4,,0,0,,GO
20210618-18-18040,4:27:00,4:27:00,1006,3,,0,0,,GO
20210618-18-18040,4:26:00,4:26:00,1002,2,,0,0,,GO
20210618-18-18040,4:25:00,4:25:00,141,1,,0,0,,GO
20210618-18-18191,10:45:00,10:45:00,141,11,,0,0,,GO
20210618-18-18191,10:40:00,10:40:00,1014,10,,0,0,,GO
20210618-18-18191,10:39:00,10:39:00,1007,9,,0,0,,GO
20210618-18-18191,10:39:00,10:39:00,1012,8,,0,0,,GO
20210618-18-18191,10:38:00,10:38:00,1011,7,,0,0,,GO
20210618-18-18191,10:38:00,10:38:00,1013,6,,0,0,,GO
20210618-18-18191,10:37:00,10:37:00,1008,5,,0,0,,GO
20210618-18-18191,10:36:00,10:36:00,1009,4,,0,0,,GO
20210618-18-18191,10:35:00,10:35:00,732,3,,0,0,,GO
20210618-18-18191,10:35:00,10:35:00,1010,2,,0,0,,GO
20210618-18-18191,10:28:00,10:28:00,180,1,,0,0,,GO
20210618-18-18420,10:10:00,10:10:00,180,9,,0,0,,GO
20210618-18-18420,10:02:00,10:02:00,178,8,,0,0,,GO
20210618-18-18420,10:01:00,10:01:00,1005,7,,0,0,,GO
20210618-18-18420,10:00:00,10:00:00,1004,6,,0,0,,GO
20210618-18-18420,9:59:00,9:59:00,2759,5,,0,0,,GO
20210618-18-18420,9:58:00,9:58:00,1001,4,,0,0,,GO
20210618-18-18420,9:57:00,9:57:00,1006,3,,0,0,,GO
