service_id,date,exception_type
8701,20201228,1
8701,20201229,1
8701,20201230,1
8701,20201231,1
4,20210101,1
1,20210101,2
8701,20210104,1
8701,20210105,1
8701,20210106,1
8701,20210107,1
8701,20210108,1
8701,20210111,1
8701,20210112,1
8701,20210113,1
8701,20210114,1
8701,20210115,1
8701,20210118,1
8701,20210119,1
8701,20210120,1
8701,20210121,1
8701,20210122,1
8701,20210125,1
8701,20210126,1
8701,20210127,1
8701,20210128,1
8701,20210129,1
8701,20210201,1
8701,20210202,1
8701,20210203,1
8701,20210204,1
8701,20210205,1
13101,20210208,1
13201,20210208,1
12001,20210208,1
13601,20210208,1
12101,20210208,1
13701,20210208,1
13301,20210208,1
12201,20210208,1
8701,20210208,1
13101,20210209,1
13201,20210209,1
12001,20210209,1
13601,20210209,1
12101,20210209,1
13701,20210209,1
13301,20210209,1
12201,20210209,1
8701,20210209,1
13101,20210210,1
13201,20210210,1
12001,20210210,1
13601,20210210,1
12101,20210210,1
13701,20210210,1
13301,20210210,1
12201,20210210,1
8701,20210210,1
13101,20210211,1
13201,20210211,1
12001,20210211,1
13601,20210211,1
12101,20210211,1
13701,20210211,1
13301,20210211,1
12201,20210211,1
8701,20210211,1
13101,20210212,1
13201,20210212,1
12001,20210212,1
13601,20210212,1
12101,20210212,1
13701,20210212,1
13301,20210212,1
12201,20210212,1
8701,20210212,1
4,20210215,1
1,20210215,2
13101,20210216,1
13201,20210216,1
12001,20210216,1
13601,20210216,1
12101,20210216,1
13701,20210216,1
13301,20210216,1
12201,20210216,1
8701,20210216,1
13101,20210217,1
13201,20210217,1
12001,20210217,1
13601,20210217,1
12101,20210217,1
13701,20210217,1
13301,20210217,1
12201,20210217,1
8701,20210217,1
13101,20210218,1
13201,20210218,1
12001,20210218,1
13601,20210218,1
12101,20210218,1
13701,20210218,1
13301,20210218,1
12201,20210218,1
8701,20210218,1
13101,20210219,1
13201,20210219,1
12001,20210219,1
13601,20210219,1
12101,20210219,1
13701,20210219,1
13301,20210219,1
12201,20210219,1
8701,20210219,1
13101,20210222,1
13201,20210222,1
12001,20210222,1
13601,20210222,1
12101,20210222,1
13701,20210222,1
13301,20210222,1
12201,20210222,1
8701,20210222,1
13101,20210223,1
13201,20210223,1
12001,20210223,1
13601,20210223,1
12101,20210223,1
13701,20210223,1
13301,20210223,1
12201,20210223,1
8701,20210223,1
13101,20210224,1
13201,20210224,1
12001,20210224,1
13601,20210224,1
12101,20210224,1
13701,20210224,1
13301,20210224,1
12201,20210224,1
8701,20210224,1
13101,20210225,1
13201,20210225,1
12001,20210225,1
13601,20210225,1
12101,20210225,1
13701,20210225,1
13301,20210225,1
12201,20210225,1
8701,20210225,1
13101,20210226,1
13201,20210226,1
12001,20210226,1
13601,20210226,1
12101,20210226,1
13701,20210226,1
13301,20210226,1
12201,20210226,1
8701,20210226,1
13101,20210301,1
13201,20210301,1
12001,20210301,1
13601,20210301,1
12101,20210301,1
13701,20210301,1
13301,20210301,1
12201,20210301,1
8701,20210301,1
13101,20210302,1
13201,20210302,1
12001,20210302,1
13601,20210302,1
12101,20210302,1
13701,20210302,1
13301,20210302,1
12201,20210302,1
8701,20210302,1
13101,20210303,1
13201,20210303,1
12001,20210303,1
13601,20210303,1
12101,20210303,1
13701,20210303,1
13301,20210303,1
12201,20210303,1
8701,20210303,1
13101,20210304,1
13201,20210304,1
12001,20210304,1
13601,20210304,1
12101,20210304,1
13701,20210304,1
13301,20210304,1
12201,20210304,1
8701,20210304,1
8701,20210305,1
13101,20210308,1
13201,20210308,1
12001,20210308,1
13601,20210308,1
12101,20210308,1
13701,20210308,1
13301,20210308,1
12201,20210308,1
8701,20210308,1
13101,20210309,1
13201,20210309,1
12001,20210309,1
13601,20210309,1
12101,20210309,1
13701,20210309,1
13301,20210309,1
12201,20210309,1
8701,20210309,1
13101,20210310,1
13201,20210310,1
12001,20210310,1
13601,20210310,1
12101,20210310,1
13701,20210310,1
13301,20210310,1
12201,20210310,1
8701,20210310,1
13101,20210311,1
13201,20210311,1
12001,20210311,1
13601,20210311,1
12101,20210311,1
13701,20210311,1
13301,20210311,1
12201,20210311,1
8701,20210311,1
13101,20210312,1
13201,20210312,1
12001,20210312,1
13601,20210312,1
12101,20210312,1
13701,20210312,1
13301,20210312,1
12201,20210312,1
8701,20210312,1
8701,20210315,1
8701,20210316,1
8701,20210317,1
8701,20210318,1
8701,20210319,1
13101,20210322,1
13201,20210322,1
12001,20210322,1
13601,20210322,1
12101,20210322,1
13701,20210322,1
13301,20210322,1
12201,20210322,1
8701,20210322,1
13101,20210323,1
13201,20210323,1
12001,20210323,1
13601,20210323,1
12101,20210323,1
13701,20210323,1
13301,20210323,1
12201,20210323,1
8701,20210323,1
13101,20210324,1
13201,20210324,1
12001,20210324,1
13601,20210324,1
12101,20210324,1
13701,20210324,1
13301,20210324,1
12201,20210324,1
8701,20210324,1
13101,20210325,1
13201,20210325,1
12001,20210325,1
13601,20210325,1
12101,20210325,1
13701,20210325,1
13301,20210325,1
12201,20210325,1
8701,20210325,1
13101,20210326,1
13201,20210326,1
12001,20210326,1
13601,20210326,1
12101,20210326,1
13701,20210326,1
13301,20210326,1
12201,20210326,1
8701,20210326,1
13101,20210329,1
13201,20210329,1
12001,20210329,1
13601,20210329,1
12101,20210329,1
13701,20210329,1
13301,20210329,1
12201,20210329,1
8701,20210329,1
13101,20210330,1
13201,20210330,1
12001,20210330,1
13601,20210330,1
12101,20210330,1
13701,20210330,1
13301,20210330,1
12201,20210330,1
8701,20210330,1
13101,20210331,1
13201,20210331,1
12001,20210331,1
13601,20210331,1
12101,20210331,1
13701,20210331,1
13301,20210331,1
12201,20210331,1
8701,20210331,1
13101,20210401,1
13201,20210401,1
12001,20210401,1
13601,20210401,1
12101,20210401,1
13701,20210401,1
13301,20210401,1
12201,20210401,1
8701,20210401,1
4,20210402,1
1,20210402,2
13101,20210406,1
13201,20210406,1
12001,20210406,1
13601,20210406,1
12101,20210406,1
13701,20210406,1
13301,20210406,1
12201,20210406,1
8701,20210406,1
13101,20210407,1
13201,20210407,1
12001,20210407,1
